participant_id,cohort,race_simplified,gender_simplified,accent_simplified,audit_eligible,strict_audit_eligible,prolific_recruitment_group,prolific_filter_matches_self_report,age_bin,income_bin,education,gender_self_report,race_self_report_raw,race_other_text,english_proficiency,english_accent_self_report,english_accent_other_text,primary_language,primary_language_other_text,languages_fluent,languages_fluent_other_text,residency_state,residency_other_text,country_childhood,country_childhood_other_text,state_childhood,recording_device,recording_device_other_text,device_brand_model_text,frequency_voice_assistant,frequency_text_assistant,ux_voice,voice_underperform_text,duration_s
P0097,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Nevada,,United States,,Nevada,Smartphone,,Google pixel 6 A,"At least once per month, but not every week",Daily or more,Very well,They don't always catch the cadence of my voice ,1353
P0074,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$80,000 to $89,999",Master's degree,Man,Black or African American,,I speak English fluently as a second or additional language,"Any non-American accent (British, European, Asian, African, etc)",African English accent ,Arabic,,"Arabic,English",,North Carolina,,United States,,North Carolina,Laptop/Computer with built-in microphone,,MacBook Pro with microphone of iPhone 15 ,"At least once per week, but not every day",Daily or more,Moderately well,"They sometimes don’t understand my accent, so I have to repeat. They also give wrong answers because they mishear words.",1803
P0113,new_recruits,Black,Male,SAE,True,True,bl_ma,True,18-24,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with external microphone,,lenovo legion 7i,Not at all,Not at all,Very well,,1594
P0114,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,35-44,"$70,000 to $79,999",Some college but no degree,Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,iphone 17,"At least once per week, but not every day",Daily or more,Very well,no,1182
P0069,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,65-74,"$40,000 to $49,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,"New Orleans / Cajun accent,Any non-American accent (British, European, Asian, African, etc)",African accent,English,,English,,Maryland,,Other (Please specify),Cameroon ,,Smartphone,,iPhone 17 pro max ,"At least once per month, but not every week",Daily or more,Very well,No,4218
P0120,new_recruits,Black,Male,SAE,True,True,bl_ma,True,25-34,"$60,000 to $69,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with external microphone,,Dell XPS 13,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,I can't recall,1166
P0123,new_recruits,Black,Male,SAE,True,True,bl_ma,True,35-44,"$20,000 to $29,999",Bachelor's degree in college (4-year),Man,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,Dell Latitude E7440,Only a few times,"At least once per week, but not every day",Very well,"No, there is not. Sometimes they get a word or two wrong, but they are generally effective.",2415
P0110,new_recruits,Black,Male,non-SAE,True,True,bl_ma,True,18-24,"$70,000 to $79,999",High school graduate (high school diploma or equivalent including GED),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,New York,,United States,,New York,Laptop/Computer with built-in microphone,,Lenovo X1 Yoga,"At least once per week, but not every day",Daily or more,Very well,Yes,2474
P0102,new_recruits,Black,Male,SAE,True,True,bl_ma,True,25-34,"$20,000 to $29,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,"Florida,New Jersey,New York",Laptop/Computer with external microphone,,MacBook Pro 2020,Daily or more,"At least once per week, but not every day",Slightly well,Alexa specifically often fails to trigger at the command word. ,1089
P0292,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$70,000 to $79,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Pacific Northwest accent",,English,,English,,Washington,,United States,,Washington,Smartphone,,Samsung S25,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Having to repeat myself ,959
P0313,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,Spanish,,Michigan,,United States,,Michigan,Laptop/Computer with built-in microphone,,hp laptop 14-ep2xxx,Daily or more,Daily or more,Very well,"Some like Gemini for google has failed at understanding  my question during a conversation, also slow  or confusing responses that are not on topic. ",1745
P0304,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$30,000 to $39,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Virginia,,United States,,Virginia,Smartphone,,iPhone XS Max,"At least once per week, but not every day","At least once per week, but not every day",Very well,No they performed very well for me. I have had no issues.,1618
P0286,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$10,000 to $19,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,North Carolina,,United States,,New York,Smartphone,,iPhone 11,Daily or more,Daily or more,Moderately well,No it is not,1253
P0267,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$100,000 to $149,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,"French,Spanish",,New York,,United States,,New York,Laptop/Computer with built-in microphone,,MacBook Air,"At least once per month, but not every week","At least once per week, but not every day",Very well,Sometimes I'm looking for a level of specificity that is more suited for other means.,1328
P0281,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Smartphone,,iPhone 13,"At least once per week, but not every day","At least once per week, but not every day",Very well,No,1048
P0261,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,French,,Louisiana,,United States,,Louisiana,Smartphone,,iPhone 15 plu,Daily or more,Daily or more,Very well,Siri has given me issues before with understanding what I was asking to do. I have to repeat myself repeatedly ,1665
P0305,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$70,000 to $79,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with external microphone,,HP Pavillion,"At least once per week, but not every day","At least once per week, but not every day",Very well,They sometimes fail to recognize my voice.,2175
P0256,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,"New York,North Carolina",Laptop/Computer with built-in microphone,,IdeaPad 3 Chromebook 15IJL6 Lenovo,"At least once per week, but not every day","At least once per week, but not every day",Very well,No.,2745
P0251,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"Less than $10,000",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,Nemo n100,Only a few times,Daily or more,Moderately well,It doesn't always give you the answer you want.,2548
P0275,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"Less than $10,000",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Georgia,,United States,,Georgia,Smartphone,,iPhone 14 Pro max,"At least once per week, but not every day","At least once per month, but not every week",Extremely well,Sometimes they may not understand ,1967
P0285,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$100,000 to $149,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Alabama,,United States,,Alabama,Smartphone,,iPhone 13,Only a few times,Daily or more,Moderately well,,3492
P0258,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,"English,French",,Missouri,,United States,,Missouri,Laptop/Computer with built-in microphone,,iPhone SE,Only a few times,Daily or more,Moderately well,"Yes, it often under-performs, and this is why I don't use it much on my phone. ",2492
P0293,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"Southern accent,Standard American English",,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,Apple MacBook Pro M4,"At least once per week, but not every day","At least once per week, but not every day",Very well,"No, I haven't had any problem with them responding and performing well for me.",2285
P0316,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$70,000 to $79,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,Southern accent,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,HP Laptop,Daily or more,"At least once per month, but not every week",Very well,"When I use Google Assistant, sometimes I find that I have to repeat myself a lot. Then, the results aren't always what I asked for.",2189
P0290,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$30,000 to $39,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with external microphone,,Dell windows 10pro ,Daily or more,Daily or more,Very well,none,1790
P0264,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$40,000 to $49,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Connecticut,,United States,,Connecticut,Laptop/Computer with external microphone,,HP laptop cnx222,Only a few times,"At least once per month, but not every week",Moderately well,"No, I just feel like sometimes my voice is low even when I am trying to speak loud and clear",1807
P0265,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Minnesota,Laptop/Computer with built-in microphone,,Dell OptiPlex 7450,Daily or more,"At least once per week, but not every day",Very well,"Sometimes it seems like they just cannot comprehend or catch what I am saying, which is annoying, becasue I speak very loud and clearly, and do not mumble or have an accent. So it's annoying when the AI reponds like they can't understand what I am trying to ask.",2364
P0307,reconsent,Black,Female,SAE,True,True,bl_fe,True,45-54,"$80,000 to $89,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Virginia,,United States,,New York,Laptop/Computer with built-in microphone,,"Lenovo 14e Chromebook 14"""" AMD A4-9120C 4GB Ram 32GB eMMC Chrome OS (Renewed), Mineral Grey","At least once per week, but not every day","At least once per week, but not every day",Very well,No,2268
P0310,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$100,000 to $149,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Michigan,,United States,,Michigan,Smartphone,,iPhone 15 Pro Max,"At least once per week, but not every day","At least once per week, but not every day",Extremely well,There are no specific ways in which speech based systems have underperformed for me.,949
P0288,reconsent,Black,Female,SAE,True,True,bl_fe,True,55-64,"$100,000 to $149,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Laptop/Computer with built-in microphone,,not sure,Only a few times,Only a few times,Slightly well,no,1963
P0266,reconsent,Black,Non-binary,non-SAE,False,False,bl_fe,False,35-44,"$90,000 to $99,999",Associate degree in college (2-year),Non-binary,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Ohio,,United States,,Georgia,Laptop/Computer with built-in microphone,,Lenovo Yoga,Not at all,Not at all,Moderately well,"I talk very fast and they can't keep up. I also have a cluttering problem with my speech, where words kinda blend together.",1757
P0314,reconsent,Black,Female,SAE,True,True,bl_fe,True,25-34,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Florida,,United States,,Florida,Smartphone,,iPhone 13 mini ,Daily or more,Daily or more,Very well,No not yet ,1917
P0252,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a second or additional language,African American English,,French,,"English,French",,Indiana,,Other (Please specify),Senegal,,Laptop/Computer with built-in microphone,,HP Laptop 15-ef2xx,"At least once per week, but not every day",Daily or more,Very well,sometimes hearing things wrong,1966
P0309,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,"Black or African American,Hispanic or Latino",,I speak English fluently as a first language,"African American English,Southern accent",,English,,"English,Spanish",,Georgia,,United States,,Texas,Laptop/Computer with built-in microphone,,Acer Laptop (there is nothing in system information specifying a model) ,"At least once per week, but not every day",Daily or more,Extremely well,there are times when i am speaking to fast and i have to speak slowly to be better understood.,1989
P0284,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$100,000 to $149,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Texas,,United States,,Mississippi,Laptop/Computer with external microphone,,HP Laptop ,"At least once per week, but not every day",Daily or more,Moderately well,Sometimes they start speaking with no one having asked it anything which scares me at times. Sometimes my speech has not been understood although I have repeated it several times and so the answered returned does not make sense to me.,1577
P0255,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$30,000 to $39,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Alabama,,United States,,"Illinois,Virginia",Smartphone,,iPhone 16 Pro,Daily or more,"At least once per week, but not every day",Very well,Alexa ,3159
P0282,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$80,000 to $89,999",Doctoral degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Virginia,,United States,,Virginia,Laptop/Computer with built-in microphone,,HP Elitebook 755 G5,"At least once per week, but not every day",Daily or more,Very well,I haven't encountered any performance issues with speech-based systems.,1888
P0283,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$60,000 to $69,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with external microphone,,DELL OptiPlex 7020,"At least once per week, but not every day",Daily or more,Moderately well,"Not really. Sometimes it doesn't register whole sections of speech randomly, but other than that there have been few issues.",3989
P0297,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$20,000 to $29,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,North Carolina,Laptop/Computer with built-in microphone,,HP Laptop 14,Only a few times,Only a few times,Moderately well,Sometimes they type the incorrect word (that I say),2538
P0308,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$90,000 to $99,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Michigan,,United States,,Michigan,Laptop/Computer with external microphone,,HP laptop ,"At least once per week, but not every day",Daily or more,Very well,,1869
P0312,reconsent,Black,Female,SAE,True,True,bl_fe,True,65-74,"$70,000 to $79,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Oklahoma,,United States,,Oklahoma,Tablet,,Apple iPad Pro 10.5,"At least once per week, but not every day","At least once per month, but not every week",Very well,"Siri often hears unicorn or interpol for intercom, but I have learned many people have that issue. ",1951
P0317,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,65-74,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with external microphone,,"Computer: Dell Windows Pro 10 
Headphone: Logitech 570e Stereo Headphones",Not at all,Only a few times,Very well,No,2370
P0269,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$70,000 to $79,999","Professional degree (JD, MD)",Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,Georgia,,United States,,Alabama,Laptop/Computer with built-in microphone,,"Macbook Air, Apple M1 Chip, MacOS Sonoma, Version 14.3",Daily or more,Daily or more,Very well,"Alexa performs the worst for me. I usually ask her to play certain songs and unless I change the way I ask at times, she will play something completely different.",1277
P0291,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with external microphone,,DELL OPTIPLEX 7090,Daily or more,Daily or more,Very well,Yes as they do not understand sometimes ,2489
P0303,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Maryland,,United States,,District of Columbia,Laptop/Computer with built-in microphone,,"Macbook Air , Apple M2, 13.6inch","At least once per week, but not every day",Daily or more,Slightly well,Sometimes they don't understand what I am saying despite me speaking clearly. ,2699
P0278,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,18-24,"$150,000 or more",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,Texas,Tablet,,Apple iPad ,Daily or more,Daily or more,Extremely well,No,1957
P0296,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$90,000 to $99,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Georgia,,United States,,District of Columbia,Laptop/Computer with external microphone,,HP Pavillion Desktop All in One 24- BRDFK7A,"At least once per week, but not every day","At least once per week, but not every day",Very well,The only way that speech-based systems have underperformed for me in the past is when it doesn't tell me when someone is at my front door after programming it to do so. It doesn't announce it every time.,3338
P0263,reconsent,Black,Male,non-SAE,True,False,bl_fe,False,25-34,"$30,000 to $39,999",Bachelor's degree in college (4-year),Man,Black or African American,,I speak English fluently as a first language,"African American English,Any non-American accent (British, European, Asian, African, etc)",african american,English,,English,,Arizona,,United States,,Arizona,Laptop/Computer with built-in microphone,,Dell Latitude 7480,"At least once per week, but not every day",Daily or more,Moderately well,"not exactly, i just prefer texting them",2203
P0302,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$30,000 to $39,999",Master's degree,Woman,"Asian or Asian American,Black or African American,White or European American",,I speak English fluently as a first language,"African American English,California accent,Standard American English",,English,,English,,California,,United States,,Iowa,Laptop/Computer with built-in microphone,,"2018 Acer 15.6"" HD WLED Chromebook 15 with 3X Faster WiFi Laptop Computer, Intel Celeron Core N3060 up to 2.48GHz, 4GB RAM, 16GB eMMC, 802.11ac WiFi, Bluetooth 4.2, USB 3.0, HDMI, Chrome OS

",Not at all,"At least once per week, but not every day",Very well,No. I don't really use them much at all.,3518
P0254,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$150,000 or more","Professional degree (JD, MD)",Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,"English,French",,New Jersey,,United States,,New York,Laptop/Computer with external microphone,,Dell latitude e6420,Daily or more,"At least once per week, but not every day",Very well,none i can recall,3037
P0289,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"Less than $10,000",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,New Orleans / Cajun accent,Standard American English",,English,,English,,Louisiana,,United States,,Louisiana,Laptop/Computer with built-in microphone,,Macbook M13,"At least once per month, but not every week","At least once per week, but not every day",Very well,no,2320
P0287,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$70,000 to $79,999",High school graduate (high school diploma or equivalent including GED),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Smartphone,,iPhone 8 Plus ,Daily or more,Only a few times,Very well,The times where I ask for conversions for non US currency ,2178
P0280,reconsent,Black,Female,SAE,True,True,bl_fe,True,65-74,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Texas,,United States,,Texas,Laptop/Computer with built-in microphone,,LAPTOP-44JABR9M,Daily or more,"At least once per week, but not every day",Moderately well,Google,1164
P0300,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$40,000 to $49,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,New Orleans / Cajun accent",,English,,English,,Louisiana,,United States,,Louisiana,Smartphone,,Samsung galaxy A32 5g ,"At least once per week, but not every day","At least once per week, but not every day",Moderately well,Sometimes not picking up what I  am trying to convey. ,1728
P0259,reconsent,White,Female,non-SAE,True,False,bl_fe,False,35-44,"$40,000 to $49,999",Bachelor's degree in college (4-year),Woman,White or European American,,I speak English fluently as a second or additional language,Southern accent,,English,,English,,Virginia,,United States,,Virginia,Smartphone,,iPhone 16,Only a few times,"At least once per week, but not every day",Slightly well,Not hearing correctly,778
P0274,reconsent,Black,Female,SAE,True,True,bl_fe,True,25-34,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Ohio,,United States,,Ohio,Laptop/Computer with external microphone,,HP Stream Laptop 14-cb1xxx,Daily or more,Daily or more,Very well,Only by not hearing the exact word I am saying on my device. ,3103
P0257,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$60,000 to $69,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,North Carolina,,United States,,South Carolina,Laptop/Computer with external microphone,,HP Elitedesk 800 G4 DM 35W,Daily or more,Daily or more,Extremely well,Something they give you the wrong answer because they don't understand the question,1574
P0270,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$40,000 to $49,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Standard American English",,English,,English,,Maryland,,United States,,Maryland,Smartphone,,Samsung A15 5G,Daily or more,Not at all,Extremely well,Sometimes I will ask about a word in another language and it doesn't understand what I'm saying. ,1864
P0318,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$50,000 to $59,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"New Orleans / Cajun accent,Standard American English",,English,,English,,Michigan,,United States,,Louisiana,Smartphone,,Samsung Galaxy a16,"At least once per week, but not every day",Daily or more,Very well,Occasionally they pick up a background voice instead of my own,2518
P0272,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$50,000 to $59,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Tennessee,,United States,,Tennessee,Laptop/Computer with built-in microphone,,HP 15,Only a few times,"At least once per month, but not every week",Moderately well,No,3873
P0295,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,Lenovo intel core touchscreen,Daily or more,Daily or more,Moderately well,Sometimes they can transcribe or translate what I am saying accurately. ,1797
P0276,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"Less than $10,000",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Mississippi,,United States,,Mississippi,Smartphone,,iPhone 13 Pro Max,Daily or more,"At least once per month, but not every week",Extremely well,Sometimes they don’t understand what I say ,2248
P0315,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,25-34,"$10,000 to $19,999",Some college but no degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Tablet,,K10 K10C,"At least once per week, but not every day","At least once per week, but not every day",Very well,Yes sometimes Siri will misunderstood me and will bring up information different from what I asked for.,3219
P0277,reconsent,Black,Female,SAE,True,True,bl_fe,True,35-44,"$20,000 to $29,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,Standard American English,,English,,English,,New York,,United States,,New York,Smartphone,,Moto G Power 2022,Only a few times,Only a few times,Very well,I cannot think of any way in which speech based systems have underperformed for me. ,1415
P0268,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$80,000 to $89,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent,Standard American English",,English,,English,,Georgia,,United States,,Georgia,Laptop/Computer with built-in microphone,,HP 14dq0xx,Not at all,"At least once per month, but not every week",Moderately well,no,2852
P0250,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$90,000 to $99,999",Master's degree,Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Maryland,,United States,,Maryland,Laptop/Computer with built-in microphone,,HP laptop 14-dq2xxx,"At least once per month, but not every week","At least once per week, but not every day",Moderately well,no,2904
P0253,reconsent,Black,Male,non-SAE,True,False,bl_fe,False,18-24,"$10,000 to $19,999",Associate degree in college (2-year),Man,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Ohio,,United States,,Ohio,Smartphone,,Iphone 11 pro,Daily or more,Only a few times,Extremely well,Not at all they perform pretty well actually i've never had any problems with them.,2742
P0299,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$20,000 to $29,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Midland or Northern Midwest accent,Standard American English",,English,,English,,Ohio,,United States,,Ohio,Laptop/Computer with external microphone,,Samsung Galaxy Note20,Only a few times,"At least once per week, but not every day",Very well,no,1745
P0271,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,65-74,"$20,000 to $29,999",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Southern accent",,English,,English,,North Carolina,,United States,,Virginia,Laptop/Computer with external microphone,,Moto G Stylus G5 Android Version 12,Daily or more,"At least once per week, but not every day",Very well,I have experienced some underperformance with certain words not being understood clearly.,2880
P0311,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,55-64,"$150,000 or more",Associate degree in college (2-year),Woman,Black or African American,,I speak English fluently as a first language,"African American English,Mid Atlantic accent",,English,,English,,Pennsylvania,,United States,,Pennsylvania,Laptop/Computer with external microphone,,HP Pro 6300 SFF,Not at all,Daily or more,Moderately well,,1456
P0301,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,35-44,"$80,000 to $89,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Illinois,,United States,,Illinois,Laptop/Computer with built-in microphone,,LENOVO LAPTOP IDEAPAD3,Daily or more,Daily or more,Moderately well,OFTEN MISUNDERSTAND ,1477
P0262,reconsent,Black,Female,non-SAE,True,True,bl_fe,True,45-54,"$100,000 to $149,999",Bachelor's degree in college (4-year),Woman,Black or African American,,I speak English fluently as a first language,African American English,,English,,English,,Texas,,United States,,New York,Laptop/Computer with built-in microphone,,"Samsung Notebook, Model XE501C13",Daily or more,Daily or more,Extremely well,It frustrates me when I need to repeat my request.,1674
